,id,imdb_id,production_company
2,2765.0,tt0112887,Blurco
3,18902.0,tt0112887,The Teen Angst Movie Company
0,9195.0,tt0113044,Touchstone Pictures
1,20740.0,tt0113044,Merchant Ivory Productions
0,441.0,tt0113071,Columbia Pictures Corporation
1,10158.0,tt0113071,First Knight Productions
0,508.0,tt0113114,Regency Enterprises
1,644.0,tt0113114,Alcor Films
2,5358.0,tt0113114,Canal+
3,5739.0,tt0113114,Donner/Shuler-Donner Productions
4,6194.0,tt0113114,Warner Bros.
0,60.0,tt0113243,United Artists
1,87394.0,tt0113243,Suftley
0,12909.0,tt0113464,The Booking Office
1,12910.0,tt0113464,Workin Man Films
0,559.0,tt0113481,TriStar Pictures
1,2480.0,tt0113481,Alliance Communications Corporation
0,915.0,tt0113492,Hollywood Pictures
1,1504.0,tt0113492,Cinergi Pictures Entertainment
0,559.0,tt0113500,TriStar Pictures
0,14.0,tt0113540,Miramax Films
0,13187.0,tt0113677,JDI productions
1,13190.0,tt0113677,Lemon Sky Productions
0,60.0,tt0113690,United Artists
1,3557.0,tt0113690,Seraphim Films
0,1203.0,tt0107447,The Ontario Film Development Corporation
1,2267.0,tt0107447,First Choice Films
2,4350.0,tt0107447,Atlantis Films
3,7320.0,tt0107447,Telefilm Canada
4,7828.0,tt0107447,Max Films Productions
5,11578.0,tt0107447,Super Écran
6,35859.0,tt0107447,Société Générale des Industries Culturelles du Québec (SOGIC)
0,9195.0,tt0113729,Touchstone Pictures
0,33.0,tt0113749,Universal Pictures
1,37.0,tt0113749,Gramercy Pictures
2,11462.0,tt0113749,Alphaville Films
3,16934.0,tt0113749,View Askew Productions
0,306.0,tt0113820,Twentieth Century Fox Film Corporation
1,2106.0,tt0113820,Saban Entertainment
2,9255.0,tt0113820,Toei Company
0,1382.0,tt0113851,PolyGram Filmed Entertainment
1,10163.0,tt0113851,Working Title Films
0,16561.0,tt0110604,Comet Film Produktion GmbH
1,38959.0,tt0110604,Avrora Media
2,38960.0,tt0110604,Cobblestone Pictures
0,37897.0,tt0110620,Kino Link Company
0,5.0,tt0113957,Columbia Pictures
0,306.0,tt0113986,Twentieth Century Fox Film Corporation
1,436.0,tt0113986,1492 Pictures
0,37890.0,tt0114095,Party Productions
0,7405.0,tt0114194,Dimension Films
0,2492.0,tt0114241,Playhouse International Pictures
1,3906.0,tt0114241,American Playhouse
2,28205.0,tt0114241,"Samuel Goldwyn Company, The"
0,1422.0,tt0114323,Killer Films
1,3906.0,tt0114323,American Playhouse
2,38692.0,tt0114323,Kardana Films
3,39861.0,tt0114323,Chemical Films
0,915.0,tt0114345,Hollywood Pictures
1,1504.0,tt0114345,Cinergi Pictures Entertainment
0,60.0,tt0114436,United Artists
1,183.0,tt0114436,Le Studio Canal+
2,14723.0,tt0114436,Carolco Pictures
0,14.0,tt0114478,Miramax Films
0,705.0,tt0114496,Spring Creek Productions
1,6194.0,tt0114496,Warner Bros.
